00001;16009;00050.000;St                  ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00263;100845;00020.000;Btl 400g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00264;101511;00003.000;Btl 400g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00265;50356;00004.000;Btl 1,5kg           ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00266;101511;00010.000;Btl 400g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00267;100843;00008.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00268;100847;00015.000;Btl 500g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00269;100799;00011.000;Ds 550g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00270;100807;00010.000;Ds 550g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00271;14875;00003.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00272;12979;00006.000;Gl 120g             ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00273;4962;00012.000;Gl 80g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00274;100810;00036.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00275;100812;00011.000;Ds 550g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00276;100811;00043.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00277;100802;00014.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00278;100806;00010.000;Ds 800g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00279;100808;00013.000;Ds 450g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00280;95737;00011.000;Ds 250g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00281;100809;00010.000;Ds 50g              ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00282;101512;00017.000;Btl 500g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00283;100851;00001.000;Btl 500g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00284;100850;00020.000;Btl 500g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
